#30.01.2023
#Porównanie wyników dla modelu centralnego spinu:
#wyniki Jakuba Korsaka
#https://github.com/korsakjakub/cs_q_sim/blob/main/outputs/2023-01-30T10:51:21%2B01:00
#a wyniki z programu Jacka Dobrzynieckiego.
#
#Badany układ:
#H = B \sum_{k=1}^N S^k_z  +  B_0 S^0_z  +  \sum_{k=1}^N C_k [ S^0_+ S^k_-   +   H.c. ]
#Parametry hamiltonianu:
#Pole magnetyczne B = 1000
#Pole magnetyczne B_0 = 1002
#Parametry oddziaływań: (przyjmując numerację spinów środowiskowych od 0 do 7)
#C_0 = 22.46935609503098
#C_1 = -44.93871218982019
#C_2 = 22.46935609503098
#C_3 = 89.87742437988217
#C_4 = 22.46935609503098
#C_5 = -44.93871218982019
#C_6 = 22.46935609503098
#C_7 = 89.87742437988217
#Jednostki energii = h x Hz
#Stan początkowy: spin centralny - dół, spiny środowiskowe - uuuudddd
#
#Kolumny z danymi:
#time[JK][seconds/2π]	czas (wartości "x") z pliku z wynikami J. Korsaka [w sekundach/2π]
#central_spin[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka
#time[JK][seconds]	czas (wartości "x") z pliku z wynikami J. Korsaka [przeliczony na jednostki sekund]
#central_spin_modified[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka, zmodyfikowany przez dodanie wartości ~0.164
#time[JD][seconds]	czas wg wyników Jacka Dobrzynieckiego
#central_spin[JD]	central spin wg wyników Jacka Dobrzynieckiego
#
#
#time[JK][seconds/2π]	central_spin[JK]	time[JK][seconds]	central_spin_modified[JK]	time[JD][seconds]	central_spin[JD]
0.046	-0.206372392500803	0.00732112738222719	-0.042171137052428	0.00732113	-0.0583
0.047	-0.216759584116174	0.00748028232531908	-0.0525583286677993	0.007480285	-0.06757
0.048	-0.225616933118392	0.00763943726841098	-0.0614156776700175	0.00763944	-0.07525
0.049	-0.232099603854644	0.00779859221150287	-0.0678983484062695	0.007798595	-0.08068
0.05	-0.235568140187847	0.00795774715459477	-0.0713668847394716	0.00795775	-0.08336
0.051	-0.235658663310119	0.00811690209768666	-0.0714574078617441	0.008116905	-0.08303
0.052	-0.23231717944286	0.00827605704077856	-0.0681159239944846	0.00827606	-0.07967
0.053	-0.225795912641664	0.00843521198387045	-0.0615946571932889	0.008435215	-0.0735
0.054	-0.21661489002171	0.00859436692696235	-0.0524136345733348	0.00859437	-0.06497
0.055	-0.205496364706399	0.00875352187005425	-0.0412951092580243	0.008753525	-0.05466
0.056	-0.193282518760755	0.00891267681314614	-0.02908126331238	0.00891268	-0.04328
0.057	-0.18084798011167	0.00907183175623804	-0.0166467246632945	0.009071835	-0.03156
0.058	-0.16901804626305	0.00923098669932993	-0.00481679081467509	0.00923099	-0.0202
0.059	-0.158501427253239	0.00939014164242183	0.00569982819513648	0.009390145	-0.00982
0.06	-0.149843282305379	0.00954929658551372	0.0143579731429958	0.0095493	-0.00095
0.061	-0.143400901424469	0.00970845152860562	0.0208003540239055	0.009708455	0.00603
0.062	-0.139341136303319	0.00986760647169751	0.0248601191450561	0.00986761	0.01088
0.063	-0.137656075526272	0.0100267614147894	0.0265451799221027	0.010026765	0.01348
0.064	-0.138191785061808	0.0101859163578813	0.026009470386567	0.01018592	0.01384
